Date,Mkt-RF,SMB,HML,RF
19910807,0.32,-0.24,-0.07,0.02
19910808,-0.5,0.16,-0.05,0.02
19910809,-0.71,0.33,0,0.02
19910812,-0.38,0.12,0.1,0.02
19910813,-0.03,-0.2,0.13,0.02
19910814,0.5,-0.48,-0.09,0.02
19910815,-0.36,0.28,-0.06,0.02
19910816,-1.09,0.32,-0.15,0.02
19910819,-4.84,0.84,-0.51,0.02
19910820,1.4,-0.94,0.24,0.02
19910821,3.06,-0.62,-0.14,0.02
19910822,1.35,0.12,0.3,0.02
19910823,-0.65,0.32,0.17,0.02
19910826,-0.39,0.36,0.11,0.02
19910827,-0.17,0.07,-0.14,0.02
19910828,0.31,-0.05,-0.13,0.02
19910829,0.37,-0.27,-0.06,0.02
19910830,0.46,-0.19,0.04,0.02
19910902,0.45,-0.25,0.12,0.02
19910903,-0.09,0.32,0.07,0.02
19910904,-0.21,0.15,0.1,0.02
19910905,-0.07,0.12,0.11,0.02
19910906,0.37,0.23,0,0.02
19910909,0.42,0.34,-0.07,0.02
19910910,-0.71,0.18,0.13,0.02
19910911,-0.01,-0.05,-0.08,0.02
19910912,0.63,-0.14,-0.35,0.02
19910913,0.29,-0.18,0.16,0.02
19910916,0.3,-0.13,-0.03,0.02
19910917,0.35,-0.09,-0.09,0.02
19910918,-0.33,0.17,0.06,0.02
19910919,-0.19,0.19,-0.11,0.02
19910920,0.09,0.12,0.09,0.02
19910923,0.25,0.03,-0.06,0.02
19910924,0.21,-0.46,0.01,0.02
19910925,0.22,-0.23,-0.1,0.02
19910926,0.15,-0.07,0.19,0.02
19910927,0.09,0.2,-0.05,0.02
19910930,0.6,0.01,-0.2,0.02
19911001,0.46,-0.26,-0.37,0.02
19911002,0.23,-0.12,0.01,0.02
19911003,0.45,-0.45,-0.18,0.02
19911004,-0.3,0.01,-0.08,0.02
19911007,-0.42,0.04,-0.22,0.02
19911008,-0.74,0.09,0.09,0.02
19911009,-0.35,0.1,-0.09,0.02
19911010,0.03,-0.25,-0.1,0.02
19911011,0.14,0.06,-0.02,0.02
19911014,0.17,-0.12,-0.08,0.02
19911015,0.31,-0.33,-0.07,0.02
19911016,0.41,0.22,0.01,0.02
19911017,0.24,-0.02,-0.02,0.02
19911018,0.69,-0.22,0,0.02
19911021,-0.5,0.44,-0.08,0.02
19911022,-0.48,0.4,-0.09,0.02
19911023,-0.39,0.05,-0.09,0.02
19911024,-0.03,-0.05,0.14,0.02
19911025,-0.39,0.09,0.06,0.02
19911028,0.1,-0.33,-0.23,0.02
19911029,1.14,-0.07,0.03,0.02
19911030,0.27,0.3,0.01,0.02
19911031,0.33,0.17,-0.02,0.02
19911101,0,0.33,-0.2,0.02
19911104,0.42,-0.08,0.12,0.02
19911105,-0.39,0.16,-0.04,0.02
19911106,-0.21,0.11,0.12,0.02
19911107,0.24,0.18,-0.2,0.02
19911108,-0.16,-0.03,0.04,0.02
19911111,-0.04,0.21,-0.28,0.02
19911112,0.64,-0.33,-0.25,0.02
19911113,-0.35,0.18,-0.14,0.02
19911114,-0.16,0.11,-0.12,0.02
19911115,-1.55,0.23,0.61,0.02
19911118,-0.5,-0.08,-0.43,0.02
19911119,-0.79,0.16,0.18,0.02
19911120,-0.31,0.14,-0.18,0.02
19911121,0.13,-0.06,-0.29,0.02
19911122,-0.32,0.13,-0.3,0.02
19911125,-0.03,-0.43,0.04,0.02
19911126,0.16,-0.63,0.07,0.02
19911127,-1.13,0.34,-0.14,0.02
19911128,-0.38,0.09,0.01,0.02
19911129,-0.44,0.14,-0.05,0.02
19911202,-0.32,0.02,-0.46,0.02
19911203,0.45,-0.43,-0.16,0.02
19911204,0.35,-0.13,-0.43,0.02
19911205,-0.17,0.36,-0.06,0.02
19911206,0.24,0.13,-0.28,0.02
19911209,-0.26,0.03,-0.27,0.02
19911210,-0.69,0.12,-0.3,0.02
19911211,-0.65,0.07,0.08,0.02
19911212,0.82,-0.54,0.18,0.02
19911213,1.39,-0.64,0.06,0.02
19911216,0.2,0.38,-0.27,0.02
19911217,-0.36,0.18,-0.22,0.02
19911218,-0.28,-0.01,-0.11,0.02
19911219,-0.83,0.45,0.01,0.02
19911220,0.25,-0.01,0.06,0.02
19911223,1.34,-0.49,-0.07,0.02
19911224,0.08,-0.04,0.32,0.02
19911225,0.87,-0.76,-0.03,0.02
19911226,0.91,-0.09,-0.21,0.02
19911227,0.39,0.11,-0.1,0.02
19911230,1.64,-0.7,-0.33,0.02
19911231,0.76,0.04,0.03,0.02
19920101,-0.02,0,0,0.01
19920102,0.05,-0.07,0.03,0.01
19920103,0.04,0.14,0.07,0.01
19920106,1.49,-0.25,0.18,0.01
19920107,-0.41,0.66,0.13,0.01
19920108,-1.01,1.26,-0.29,0.01
19920109,-0.3,-0.06,-0.09,0.01
19920110,-1.77,0.8,0.36,0.01
19920113,-0.55,0.77,-0.03,0.01
